Values[V]	Values[N]	Values[M]	Values[Minf]	Values[Ninf]	Values[lambdaN]	Values[lambdaM]
-25.884376097983566	0.000507593621212846	0.028608884030144752	0.03073159918239393	0.0007634682801645476	0.3090515727454734	1.395895060366438
-25.089339756574777	0.0005920715726004217	0.03169914193927482	0.034051208406977285	0.0008949315853233886	0.29766826719196704	1.3705721476747894
-24.299593484133013	0.0006885145595288753	0.0350703810043059	0.03768985633382038	0.0010478999698790292	0.2868264974163379	1.346370810433288
-23.508695546659272	0.0007990200000796019	0.03877081948820028	0.0417066745353476	0.0012272650424283715	0.2764171800347235	1.3230693027777947
-22.709772781470356	0.0009262769113697256	0.04286238923781739	0.04617817058171991	0.0014395925079790373	0.2663411098164662	1.3004649717360643
-21.895267653706718	0.0010737808768525663	0.04742527413803277	0.05120434677539337	0.0016938540880550024	0.25650598139673897	1.2783691574583356
-21.05661296239134	0.0012461468994833704	0.05256443173361912	0.05691763524706894	0.002002563510738131	0.2468236807069115	1.2566027637513426
-20.183799198818463	0.0014495761618896728	0.058419146142816264	0.06349621733031419	0.002383592970957138	0.23720772210807162	1.2349924745569665
-19.26478118375484	0.0016925718752021008	0.06517732076076661	0.07118433663680901	0.0028631767459977864	0.227570733157601	1.213367772420133
-18.28464074460224	0.001987071839075449	0.0730973682545933	0.08032406495732758	0.0034810709340103996	0.21782193070631603	1.1915592536031878
-17.22437274886295	0.0023503052118325663	0.08254260494960312	0.09140634837738587	0.00429981347971059	0.20786462170558778	1.169399418136682
-16.059078722749728	0.0028079646296503263	0.09403680098749362	0.10515543006524192	0.0054222050897100305	0.19759397497270123	1.1467285573719999
-14.755211760497975	0.0033998932534548003	0.108356505353314	0.12267256285611305	0.007026310986698592	0.18689582878029906	1.1234115230366628
-13.266282358375914	0.00419087868114819	0.12668878259023086	0.14568693834244895	0.009440542254049	0.17564857995085476	1.0993783155240127
-11.526073020736439	0.005292577559311581	0.15090647567338086	0.17699952394840995	0.013318219335127446	0.16373340958450908	1.0747181156575694
-9.437999877131848	0.006911790948823915	0.1840490179572255	0.22124944909278538	0.020082886108526432	0.15106623842820538	1.049896081214365
-6.859581697645629	0.009467216561591621	0.23111314110392778	0.2860572333390114	0.03318477084842003	0.13768521272965986	1.0262551248712537
-3.586141151507867	0.013901173582943828	0.3000208385550729	0.3826885621009889	0.0619643793361484	0.12397392964143353	1.0071531830850133
0.6354315181018079	0.022564762007501793	0.40110931563043445	0.5211683895570158	0.13320494342198064	0.11116363399751844	1.0002243268389186
5.946268029806033	0.04135506399782298	0.5389911012743831	0.6884398938181298	0.307731466463407	0.10206113466011689	1.0197077855681556
11.905433036471987	0.08039734859358584	0.6932709026668742	0.8302487284405522	0.5941351526453069	0.10045417776201425	1.0797829540990393
17.177045157103237	0.14268566702746902	0.8205065273129151	0.9080682166543455	0.807742706718481	0.10650814019961297	1.168444518511056
20.356133586087427	0.21735238679637622	0.8963871343302192	0.9378565244428051	0.8880749525335073	0.11370842098853627	1.2391759633344543
20.991089692155498	0.29139609131197003	0.9290943714009064	0.942611590828938	0.9000893669817174	0.1154843953311469	1.2549437538464172
19.572648484112207	0.35571604149415514	0.9348120392355729	0.9314823882255929	0.8715271810293939	0.11167480062074996	1.2204841332299154
16.941199743345585	0.405615925207089	0.9226038834133445	0.9054091876659922	0.8003111123208608	0.10608322645218021	1.163729316865589
13.826626717879165	0.43900878374869345	0.8950327114914224	0.863368045971388	0.6825088052526114	0.10183597466559663	1.1081020795904046
10.70026451632581	0.4552825741151949	0.8526983097564369	0.8063869189237207	0.5349561063547872	0.1000613025614195	1.0642859109778589
7.797386036704122	0.4557649810269858	0.7974172582568471	0.7387827516887621	0.39161640528071817	0.10060705172793541	1.033967929708016
5.188818597918375	0.4436173906772884	0.7329338040665275	0.6663766701285727	0.2764306777606045	0.10290741351405436	1.0149950139653163
2.8592215298223405	0.42254967879694416	0.6638223370592259	0.5941696181214452	0.19338621112838544	0.1064418377345226	1.0045451877084015
0.7672290183619955	0.39577053405155393	0.5942256151611736	0.5255520216065881	0.1362779816877534	0.11084608994402474	1.0003270402502313
-1.1233724779815142	0.3657080730660501	0.5273213938059266	0.4626241018085039	0.09755649044135961	0.11586898135256418	1.0007011739945586
-2.8334893537047297	0.33412664073246673	0.46534986791729366	0.40665796221495987	0.07131268547916708	0.12130346820911171	1.004463684531501
-4.368317049938934	0.30231397259595927	0.4098065537090087	0.3583708204293735	0.05347093666069791	0.12693526081389778	1.0106199630213297
-5.7204064721318035	0.2712280022996821	0.3616066055606095	0.31805582912451474	0.041325126166459114	0.13251497981610003	1.0182346213403537
-6.873772172052339	0.24159020013759497	0.3211972716120896	0.285670976582066	0.03309383525108284	0.13775239854723118	1.026364340944772
-7.807993190340714	0.21393806735828563	0.2886548762162904	0.2609444074061349	0.027609470959020777	0.1423297365799862	1.0340609303862802
-8.50149758973211	0.18865295084371547	0.2637990080567894	0.24350968554228802	0.024119970300165994	0.14592794158732356	1.0404224653982639
-8.933316103919665	0.16597763357754164	0.2463336708358357	0.23306068395170704	0.02216853862157042	0.14825677007764793	1.0446642093361476
-9.082852008690155	0.14603467698530864	0.23600857837006836	0.2295158603807868	0.021529418870007033	0.14907928313033506	1.046183505622414
-8.927543401158989	0.1288522322477043	0.2327935785547627	0.23319828988797925	0.022193579517917672	0.14822518412518473	1.0446060788039435
-8.43848758423413	0.11440068746924947	0.2370734393424124	0.2450606511228302	0.02441838434071003	0.14559383710926263	1.0398215620698747
-7.574083833241981	0.10264352232711166	0.2498909115507347	0.26700375748289285	0.02889357632088041	0.1411549202459127	1.0320400617083423
-6.271762692356654	0.09361249816220428	0.2732798461147121	0.30232832311991403	0.03717079958399239	0.1349626493464341	1.0219324885374828
-4.43884317473443	0.08753810382559896	0.31069525207978843	0.35621146418317495	0.0527615258083754	0.12721174732165338	1.0109662785422902
-1.9485421916372327	0.08511968678945595	0.36730169212829256	0.43541149034189897	0.08396085360240252	0.11838311002866507	1.0021100842545354
1.3355774747090559	0.08813076725421679	0.4489723552384811	0.5444019736682536	0.15021899168187747	0.10953171508150555	1.0009911454577094
5.445360550205895	0.10052345512755331	0.5571350774558649	0.6739374511068127	0.2868099997951177	0.10260431883805798	1.0165185844048101
10.048596950040508	0.1284737752287333	0.6789640422904599	0.7924591756166997	0.5024298283739318	0.1000002952080894	1.0566232748576259
14.276401790421623	0.17471730074649425	0.7871675893424449	0.8702894286453359	0.7016736436579902	0.10229467410835331	1.115383985046994
17.123977730041684	0.233030777485127	0.8607623821986473	0.9074758305189108	0.8060891060832448	0.10641124139557148	1.1673772680603047
18.104727117072528	0.2935160947904776	0.8986097935030084	0.9178859202103669	0.8349254739856595	0.10832380482372249	1.187694942520686
17.39796380803861	0.34817861529197575	0.9098077239062339	0.910497818809295	0.8145110618739622	0.10691959432443571	1.1729267904171232
15.543234840526127	0.39201649038128755	0.9020500957285487	0.8881946306885677	0.751876778428525	0.10386558253439433	1.1372472606766963
13.10552899728397	0.42233205703293564	0.8790186425712964	0.8516250543524886	0.6504700036009453	0.10120796294797584	1.096946546034419
10.507531458343056	0.4381658162795778	0.8424988106568492	0.8023431906974288	0.5253548063266003	0.10003220025059618	1.0619675246051616
7.99925347656113	0.4403568383991247	0.7946415477680565	0.743943530930522	0.40127646836053743	0.10050079075972462	1.0357600408453869
5.692152691886184	0.43126913221413676	0.7387321252742833	0.6811265259600134	0.2970115444731817	0.1023286757313549	1.0180544014460613
3.6137672993698	0.41387191894371167	0.6786493728170095	0.6181812406142428	0.21801928786599806	0.10514145943690978	1.0072639516672002
1.7560150282654265	0.3909196737044415	0.6180233227810361	0.5582678931273568	0.16127160551955017	0.10861638103505039	1.0017135940547481
0.1046268075803674	0.3646288712490133	0.5597733743472527	0.5034875036944967	0.12141751653534372	0.1124915355720787	1.0000060815444223
-1.3480680973470291	0.3366850309747121	0.506048895268551	0.4551849863097408	0.09367100954012442	0.11653386605913547	1.001009774114373
-2.599742397722161	0.30835391845697546	0.45835034277476316	0.4141993122989648	0.07447149616094706	0.1205092528238056	1.0037571617644565
-3.6386841130259957	0.28059065548154993	0.4176810797224483	0.3810349085180422	0.061356373890456395	0.12416686751676487	1.007364589638461
-4.445667683350877	0.2541198557367833	0.38468809799685233	0.3560028209010926	0.0526933527210211	0.12723858561301865	1.0110000864521635
-4.995716803313468	0.22948967851888982	0.35980149433973774	0.3393716576763619	0.047464588288622656	0.12945072071503816	1.0138971733572515
-5.258929719240994	0.20711060614979573	0.3433918594823504	0.33154830288570925	0.04514043178601701	0.13054381975259097	1.0154040199840833
-5.199806026410895	0.18729078562761828	0.33595902946269357	0.33329771436759603	0.045652860989192134	0.13029632224602047	1.0150587447672725
-4.774821382172458	0.1702797667185201	0.3383593817676653	0.34600582127923896	0.049502409751800425	0.12855067419903846	1.0126928270335467
-3.928567591474474	0.1563350490213535	0.3520686850101559	0.3719619914680735	0.058101090648967846	0.12524676325990114	1.0085865062453618
-2.5902009814396965	0.1458361014447644	0.37943063813243016	0.41450802761809835	0.07460313237654592	0.12047718381665602	1.0037296166616796
-0.6759214804844145	0.1394956786694577	0.42366364877410556	0.47748452139283387	0.10572383279003156	0.11458843275594949	1.0002538273194248
1.8869613004364516	0.13875077515780843	0.4879279049232814	0.5625690063759772	0.1648455449029842	0.10834111967694429	1.0019787761090917
5.083881456428845	0.14630952193273405	0.5721877907082882	0.6632588631473009	0.2722525979070008	0.10303626937400177	1.0143932013857146
8.669419925171887	0.16600133751758375	0.6681089388481959	0.7605910510643744	0.4338608550373117	0.10022138705579774	1.0420463009940761
12.071746037981724	0.19993228324752219	0.7583486170219923	0.8333511417337346	0.602130277306223	0.10053699637721077	1.0820577927383224
14.581882130497608	0.24486507113042325	0.8264547484386795	0.8748184122413678	0.7143032025819869	0.10263570300448562	1.12047260902629
15.747310770851133	0.2937849611140675	0.8668746234542999	0.890868323408195	0.7594126635002093	0.1041574396459162	1.1409578575691541
15.560066327230917	0.3398754462512784	0.8831046427455578	0.8884172965567552	0.7525042558000677	0.10388924432372229	1.1375513045218542
14.334380725435684	0.3782307963910321	0.8805660610086093	0.8711595994108603	0.7040952732895395	0.10235756273710764	1.116340877323146
12.484151548557367	0.4058888328596495	0.8630506320762881	0.8408483149911177	0.6217141535946539	0.10077236832649904	1.0878423230786856
10.36819158281033	0.42157635761699314	0.8329750362472682	0.7993802708081641	0.5184012646645532	0.10001694610880259	1.0603187095223605
